Features;Accuracy_RF;Accuracy_NN;Accuracy_SVM
Kurtosis;0.8353658536585366;0.4634146341463415;0.42073170731707316
Skewness;0.8475609756097561;0.4634146341463415;0.4146341463414634
Dissimilarity;0.8475609756097561;0.47560975609756095;0.40853658536585363
Correlation;0.8414634146341463;0.4695121951219512;0.42073170731707316
Homogeneity;0.8414634146341463;0.4634146341463415;0.42073170731707316
Energy;0.8414634146341463;0.4573170731707317;0.4146341463414634
Contrast;0.8414634146341463;0.4573170731707317;0.42073170731707316
ASM;0.8414634146341463;0.47560975609756095;0.4146341463414634
ColorH;0.8536585365853658;0.45121951219512196;0.4146341463414634
ColorS;0.823170731707317;0.40853658536585363;0.38414634146341464
ColorV;0.8658536585365854;0.5182926829268293;0.36585365853658536
All Features;0.8353658536585366;0.45121951219512196;0.4146341463414634
